version,release_date,artifact_id,service_name
1.23.0,2018-03-22,google-cloud-vision,vision
1.24.0,2018-03-27,google-cloud-vision,vision
1.24.1,2018-04-02,google-cloud-vision,vision
1.25.0,2018-04-05,google-cloud-vision,vision
1.26.0,2018-04-16,google-cloud-vision,vision
1.27.0,2018-04-19,google-cloud-vision,vision
1.28.0,2018-04-27,google-cloud-vision,vision
1.29.0,2018-05-07,google-cloud-vision,vision
1.30.0,2018-05-18,google-cloud-vision,vision
1.31.0,2018-05-24,google-cloud-vision,vision
1.32.0,2018-06-01,google-cloud-vision,vision
1.33.0,2018-06-07,google-cloud-vision,vision
1.34.0,2018-06-14,google-cloud-vision,vision
1.35.0,2018-06-22,google-cloud-vision,vision
1.36.0,2018-07-12,google-cloud-vision,vision
1.37.0,2018-07-20,google-cloud-vision,vision
1.37.1,2018-07-20,google-cloud-vision,vision
1.38.0,2018-08-01,google-cloud-vision,vision
1.39.0,2018-08-10,google-cloud-vision,vision
1.40.0,2018-08-15,google-cloud-vision,vision
1.41.0,2018-08-23,google-cloud-vision,vision
1.42.0,2018-08-30,google-cloud-vision,vision
1.43.0,2018-09-07,google-cloud-vision,vision
1.44.0,2018-09-13,google-cloud-vision,vision
1.45.0,2018-09-20,google-cloud-vision,vision
1.46.0,2018-09-27,google-cloud-vision,vision
1.47.0,2018-10-04,google-cloud-vision,vision
1.48.0,2018-10-06,google-cloud-vision,vision
1.49.0,2018-10-11,google-cloud-vision,vision
1.50.0,2018-10-25,google-cloud-vision,vision
1.51.0,2018-11-01,google-cloud-vision,vision
1.52.0,2018-11-07,google-cloud-vision,vision
1.53.0,2018-11-16,google-cloud-vision,vision
1.54.0,2018-11-29,google-cloud-vision,vision
1.55.0,2018-12-07,google-cloud-vision,vision
1.56.0,2018-12-13,google-cloud-vision,vision
1.57.0,2019-01-03,google-cloud-vision,vision
1.58.0,2019-01-07,google-cloud-vision,vision
1.59.0,2019-01-10,google-cloud-vision,vision
1.60.0,2019-01-17,google-cloud-vision,vision
1.61.0,2019-01-23,google-cloud-vision,vision
1.62.0,2019-02-07,google-cloud-vision,vision
1.63.0,2019-02-21,google-cloud-vision,vision
1.64.0,2019-03-04,google-cloud-vision,vision
1.65.0,2019-03-11,google-cloud-vision,vision
1.66.0,2019-03-21,google-cloud-vision,vision
1.67.0,2019-03-29,google-cloud-vision,vision
1.68.0,2019-04-03,google-cloud-vision,vision
1.69.0,2019-04-04,google-cloud-vision,vision
1.70.0,2019-04-17,google-cloud-vision,vision
1.71.0,2019-04-24,google-cloud-vision,vision
1.72.0,2019-05-01,google-cloud-vision,vision
1.73.0,2019-05-07,google-cloud-vision,vision
1.74.0,2019-05-15,google-cloud-vision,vision
1.75.0,2019-05-22,google-cloud-vision,vision
1.76.0,2019-05-29,google-cloud-vision,vision
1.77.0,2019-06-06,google-cloud-vision,vision
1.78.0,2019-06-13,google-cloud-vision,vision
1.79.0,2019-06-20,google-cloud-vision,vision
1.80.0,2019-06-26,google-cloud-vision,vision
1.81.0,2019-07-03,google-cloud-vision,vision
1.82.0,2019-07-10,google-cloud-vision,vision
1.83.0,2019-07-18,google-cloud-vision,vision
1.84.0,2019-07-24,google-cloud-vision,vision
1.85.0,2019-07-31,google-cloud-vision,vision
1.86.0,2019-08-07,google-cloud-vision,vision
1.87.0,2019-08-14,google-cloud-vision,vision
1.88.0,2019-08-22,google-cloud-vision,vision
1.89.0,2019-08-29,google-cloud-vision,vision
1.90.0,2019-09-05,google-cloud-vision,vision
1.91.0,2019-09-11,google-cloud-vision,vision
1.92.0,2019-09-18,google-cloud-vision,vision
1.93.0,2019-09-25,google-cloud-vision,vision
1.96.0,2019-10-03,google-cloud-vision,vision
1.97.0,2019-10-14,google-cloud-vision,vision
1.98.0,2019-10-28,google-cloud-vision,vision
1.98.1,2019-11-13,google-cloud-vision,vision
1.99.0,2019-11-14,google-cloud-vision,vision
1.99.1,2020-01-09,google-cloud-vision,vision
1.99.2,2020-03-09,google-cloud-vision,vision
1.99.3,2020-04-07,google-cloud-vision,vision
2.0.0,2021-08-10,google-cloud-vision,vision
2.0.1,2021-08-12,google-cloud-vision,vision
2.0.10,2021-09-20,google-cloud-vision,vision
2.0.11,2021-09-22,google-cloud-vision,vision
2.0.12,2021-09-22,google-cloud-vision,vision
2.0.13,2021-09-24,google-cloud-vision,vision
2.0.14,2021-10-20,google-cloud-vision,vision
2.0.15,2021-12-06,google-cloud-vision,vision
2.0.16,2021-12-06,google-cloud-vision,vision
2.0.17,2022-01-07,google-cloud-vision,vision
2.0.18,2022-01-07,google-cloud-vision,vision
2.0.19,2022-02-03,google-cloud-vision,vision
2.0.2,2021-08-19,google-cloud-vision,vision
2.0.20,2022-03-03,google-cloud-vision,vision
2.0.21,2022-03-03,google-cloud-vision,vision
2.0.22,2022-03-09,google-cloud-vision,vision
2.0.23,2022-03-10,google-cloud-vision,vision
2.0.24,2022-03-14,google-cloud-vision,vision
2.0.25,2022-03-30,google-cloud-vision,vision
2.0.26,2022-04-01,google-cloud-vision,vision
2.0.27,2022-04-06,google-cloud-vision,vision
2.0.28,2022-04-19,google-cloud-vision,vision
2.0.29,2022-05-05,google-cloud-vision,vision
2.0.3,2021-08-19,google-cloud-vision,vision
2.0.4,2021-08-24,google-cloud-vision,vision
2.0.5,2021-08-24,google-cloud-vision,vision
2.0.6,2021-09-01,google-cloud-vision,vision
2.0.7,2021-09-03,google-cloud-vision,vision
2.0.8,2021-09-15,google-cloud-vision,vision
2.0.9,2021-09-15,google-cloud-vision,vision
2.1.0,2022-05-24,google-cloud-vision,vision
2.1.1,2022-05-25,google-cloud-vision,vision
2.1.2,2022-06-22,google-cloud-vision,vision
2.1.3,2022-06-23,google-cloud-vision,vision
2.1.4,2022-06-27,google-cloud-vision,vision
3.0.1,2022-07-01,google-cloud-vision,vision
3.1.0,2022-08-11,google-cloud-vision,vision
3.1.1,2022-09-16,google-cloud-vision,vision
3.1.2,2022-10-05,google-cloud-vision,vision
3.1.3,2022-10-10,google-cloud-vision,vision
3.2.0,2022-10-17,google-cloud-vision,vision
3.3.0,2022-10-24,google-cloud-vision,vision
3.4.0,2022-11-15,google-cloud-vision,vision
